Question,Answers,Predicted Answers
Коя компания основава Никелодеон през 1979 година?,Уорнър Амекс,Viacom
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?",350 паунда (приблизително 158.76 кг). Минимумът е 200 паунда (приблизително 90.72 кг).,"Максималното тегло на телетата в родео състезанията по хващане на теле обикновено варира между 150 и 200 килограма. Точната граница може да се различава в зависимост от конкретните правила на организацията или асоциацията, провеждаща събитието."
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?",Най-малко 6 грама. Сребърните медали трябва да са поне .925 стерлингово сребро.,65% чисто злато.
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?","Само трофеят на Уимбълдън е златен; останалите - за Откритото първенство на САЩ, Откритото първенство на Франция и Откритото първенство на Австралия - са сребърни.",Четири златни медала.
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?",Лукът. Неговата кръгла форма символизирa вечността.,Лук.
Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място?,"Венецуела, където годишната консумация е близо 13 килограма.",Китай
"Кой е бил Египетският президент, убит през 1981 година?",Садат,Ануар Садат
Между кои държави се намира водопадът Виктория?,Замбия и Зимбабве,Зимбабве и Замбия.
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?",Три дена и три нощи,Три дни и три нощи.
Кои са двете основни ръкави на река Нил?,Сини Нил и Бели Нил.,Белият Нил и Синият Нил.
"За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя? ",Първото появяване на Бийтълс в шоуто на Ед Съливан.,"Били Греъм гледа телевизия в неделя за първи път през февруари 1964 г., за да наблюдава изстрелването на космическия кораб ""Джемини 3"""
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?","Шест лакътя и една педя ,равнявайки се  на приблизително 297.18 см",2.9 метра (според Библията)
За каква 'цена' Исав продава първородството си на брат си Яков?,Вариво от леща (Битие 25:29-34).,Едно ястие от леща.
На какъв език е написан Новият завет?,Гръцки език.,Новият завет е написан на гръцки език (коine).
Какво е било световното население по време на Христос?,Около 200 милиона души.,Около 300 милиона души.
"Кой е авторът на историята, на която е базиран филмът на Алфред Хичкок 'Птиците'?","Дафни дю Морие, най-известна с романа й Ребека.",Дафни дю Морие
С какво се е занимавал Франц Кафprintка през деня?,Работил е като застраховането.,Франц Кафка е бил писател.
"Колко километра е дълъг каналът, който свързва Тихия и Атлантическия океан?",80 километра.,120 км
Кой художник създава комикса Katzenjammer Kids?,Рудолф Диркс.,Rudolf Dirks
Какъв е бил физическият недъг на певеца Ал Хиблър?,Бил е сляп.,Ал Хиблър е страдал от церебрална парализа.
Коя супермоделка е била омъжена за Род Стюарт?,Рейчъл Хънтър,Пеги Моран
Фламенко танцьорът Хоакин Кортес нашумява през 1996 г. със своята връзка с кой супермодел?,Наоми Хампбел.,Наоми Кембъл
Как се казва говорителят на НАТО по време на кризата в Косово през 1999 година?,Джеймс Шифер.,Javier Solana
"Кой беше противникът на Андре Агаси, когато той спечели първия си титул на Уимбълдън в сингъл?",Майкъл Стич.,Горан Иванишевич
"Как загива Джеймс Фикс, човекът, който възхваляваше бягането като здравословно, през 1984 година?",Сърдечен удар по време на джогинг.,Джеймс Фикс умира от сърдечна недостатъчност по време на маратон в Ню Йорк през 1984 г.
Как се казва първият метеорологичен сателит?,Тирос.,TIROS 1
"Какво е името на първия албум на Елвис Пресли, който не съдържа името на певеца?",Крал Креол,Elvis' Golden Records
Кой водеше ранните серии на анимацията 'Пинко Розовата пантера'?," Лени Шулц","Ранните серии на ""Пинко Розовата пантера"" бяха водени от актьора Робърт Кълп."
Кой спечели първия изцяло американски финал на Откритото първенство на Франция за почти 40 години през 90-те?,Джим Къриър.,Андре Агаси
"В 'Makin' It',сериал от 80те, кой е героят от типа на Джон Траволта?",Били Манучи,"В сериала ""Makin' It"" от 80-те години, героят от типа на Джон Траволта се казва Били Рос."
"Героят, играл  Джак Гелър в комедийния сериал 'Приятели', бил женен за коя известна личност?","Елиът Гулд е женен за Барбра Стрейзанд ",Мат Лебланк (Джак Гелър) е женен за актрисата Мелани Шоу.
Кой е първият социалистически премиер на Гърция?,Андрѐас Георгиу Папандрѐу.,Андреас Папандреу
"Кой победи най-доброто време на Карл Луис от 9,86 секунди за 100 метра?",Лерой Бурел,"Юсейн Болт с 9,58 секунди през 2009 г."
"Кой e последният французин, спечелил Уимбълдън на сингъл през този век?",Ивон Петра,Анри Льоконт (2001)
Кой e  най-възрастният шампион на Откритото първенство на САЩ по голф през 20-ти век?,Хейл Ирвин.,Sam Snead
"Къде се връща изпратен имейл, ако не бъде доставен?",При подателя.,Връща се в подателя.
"Кой e старшият американски дипломат, държан в посолството на САЩ в Техеран?",Брус Лайнген.,Марк Стокър
Кои са първите двама мъже шофирали на Луната?,Дейвид Скот и Джеймс Ъруин.,Едуин Олдрин и Нийл Армстронг.
Къде се намира Великия бял път?,Ню Йорк (Бродуей).,Великият бял път се намира в Китай.
В коя болница e откарана принцеса Даяна след катастрофата?,"Ла Пити-Салпетриер (La Pitié-Salpêtrière), университетска болница в Париж, Франция","Болница ""Париж"" (Pitié-Salpêtrière Hospital)"
Кои две близкоизточни страни воюваха от 1980 до 1988 година?,Иран и Ирак.,Иран и Ирак
С какво е свързано японското изкуство бонсай?,Миниатюрни дървета.,С миниатюрни дървета в саксии.
Кои две държави имат граница с Лихтенщайн?,Швейцария и Австрия.,Швейцария и Австрия.
Колко често се провеждат президентските избори в САЩ?,На всеки 4 години.,На всеки 4 години.
Кои са двете основни политически партии в САЩ?,Демократи и републиканци.,Демократическа партия и Републиканска партия.
С каква цел Мелвил Дюи разработва своята десетична система през 1876 година?,За класифициране на книги.,Мелвил Дюи разработва своята десетична система през 1876 година с цел да създаде универсална система за класификация на книги в библиотеките.
Какви видове елементи се срещат в чисто състояние в природата?,Eстествени елементи.,Метали (като злато и платина) и неметали (като сяра и въглерод).
"Коя величина има както посока, така и големина?",Векторна стойност,Вектор
Какво се изучава в науката за криогениката?,Много ниски температури.,В науката за криогениката се изучават свойствата на материалите при много ниски температури.
Какъв вид животно е мармозетката,Американска маймунка,Мармозетката е вид маймуна.
Защо рибите имат хриле?,за да дишат кислород,Рибите имат хриле за дишане под вода. Хрилете им позволяват да извличат кислород от водата.
Макиавели използва името на кое растение като заглавие на една от книгите си?,Мандрагора,"""Лъвчето"" (Il Principe)"
Кога човек може да покаже бързо движение на очите (БДО)?,По време на сън,По време на сън или при определени психични състояния.
"Кои две планети отнемат по-малко време от Земята, за да обиколят слънцето?",Меркурий и Венера,Меркурий и Венера.
"Какви са имената на двете космически сонди, изстреляни през 1977 г., които изпратиха забележителни снимки на Юпитер, Сатурн, Уран и Нептун?",Вояджър 1 и Вояджър 2,Voyager 1 и Voyager 2
Каква е определящата характеристика на неутронната звезда?,Висока плътност,"Определяща характеристика на неутронната звезда е нейната изключително висока плътност, резултат от гравитационното свиване на ядрото на масивна звезда след експлозия на свръхнова."
Уралските планини образуват естествена граница между кои два континента?,Азия и Европа,Европа и Азия
Какво според Николай Коперник е било в центъра на нашата вселена и какво е било общото вярване преди това?,"Слънцето, а преди това хората вярвали че това било Земята","Според Николай Коперник Слънцето е в центъра на Вселената (хелиоцентризъм), докато предишното общо вярване е било, че Земята е в центъра (геоцентризъм)."
Кой певец от групата на Банд Ейд изпълнява началото на песента 'Знаят ли че е Коледа?',Пол Йънг,Фил Колинс
Кои две числа са използвани от двоичната бройна система?,1 и 0,0 и 1
Джеймс Ърл Рей е виновен за смъррта на кого през 1968 г.?,Мартин Лутър Кинг,Джеймс Ърл Рей е виновен за смъртта на Мартин Лутър Кинг младши през 1968 г.
По какъв предизвикателен начин Даниел от Карате Кид улавя муха?,Използвайки клечки за хранене,"Даниел използва телекинеза, за да улови мухата с пръстите си без да ги движи."
Коя група изпълнява хитовата песен Счупени Крила от 80-те години,Господин мистър/Мистър Мистър,Сигнал
Кои са основните четири кръвни групи?,"А, В, АВ, О","A, B, AB, O"
Кои две актриси играят главните роли във филма от 1992 г. - Неомъжена бяла жена?,Бриджит Фонда и Дженифър Джейсън Лий,Мерил Стрийп и Ким Бейсингър.
Кои са актьорите които играят главните роли във филма от 1986 г. Тримата амиго?,"Чеви Чейс, Стив Мартин, Мартин Шорт","Гари Олдман, Джо Пеши и Анди Гарсия."
Кои три елемента изграждат въглехидратите?,"Въглерод, водород и кислород","Въглерод, водород и кислород."
Какъв цвят са вертикалните ивици на италианското знаме?,"Зелено, бяло и червено",Вертикални зелени ивици.
Кои са двата традиционни цвята на Уимбълдън?,Зелено и лилаво,Зелено и лилаво.
Лицата на кои четирима американски президенти са изваяни на планината Ръшмор?,"Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт и Ейбрахам Линкълн","Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт, Ейбрахам Линкълн."
"Кои са единствените четири цвята, които се използват в четирицветния процес на печат, който също е известен като ЦМИК?","Циан, магента, жълто и черно","Цветовете са циан, магента, жълто и черно (CMYK)."
Кои са първите четири книги на Библията?,"Битие, Изход, Левит, Числа","Битие, Изход, Левит, Числа"
Кои четири американски щата започват с английската буква 'I',"Айдахо, Илинойс, Индиана и Айова","Idaho, Illinois, Indiana, Iowa"
Бон Скот беше вокал на коя известна рок група?,Ей Си/Ди Си,AC/DC
"Какви са първите имена на четирите деца, които влизат в Нарния в 'Лъвът, вещицата и гардеробът'?","Луси, Питър, Сюзън и Едмънд","Питър, Сюзън, Едмънд, Луси"
"'Око за око', 'зъб за зъб'. Според книгата Изход в Библията какво следва?","Ръка за ръка, крак за крак","'Око за око', 'зъб за зъб'. Според книгата Изход в Библията следва възмездие или наказание, което съответства на извършеното престъпление. Това е принципът на справедливостта, известен като lex talionis."
"Какво е името на котката, оцеляла след потъването на 'Бисмарк', 'Косак' и 'Арк Роял' през Втората световна война?",Непотопяемият Сам,Симба
Какви са сухите съставки на Сухото мартини?,Джин и вермут,Сухи съставки на сухото мартини: джин и вермут (в малки количества).
"Кой е първият в света самолет с реактивно задвижване, който влиза в търговска експлоатация?",Кометата,De Havilland Comet
На какво място си снасят яйцата скакалците?,В почвата,В земята или в растителност.
Географската област Патагония е разположена между кои две южноамерикански държави?,Аржентина и Чили,Аржентина и Чили.
Къде в човешкото тяло се намера скафоидната кост?,В китката,В китката.
Кой печели златния медал на 100 метра бруст на Олимпиадата през 1980 г. в Москва?,Дънкан Гудхю,Николай Желязков (България)
Кой печели златния медал в седмобоя на Олимпийските игри през 2000 г.?,Дениз Луис,Естер Вержес (Унгария)
Назовете всяка година през която Леонардо да Винчи е бил жив,1452-1519,1452-1519
Смърфовете са описани като колко високи?,Колкото три ябълки,Смърфовете са описани като около 30 см високи.
Каква температура е еднаква по Целзий и по Фаренхайт?,-40 градуса,-40 градуса
Кои са двете основни съставки на соса Холандез?,Яйцени жълтъци и масло,Яйца и масло.
"На плажа какви цветове са знамената, обозначаващи зона за спасители?",Червено и жълто,Червен и жълт.
Филмът 'Волният Уили' от 1993 г. се съсредоточава около какъв тип животно?,Косатка,Делфин
Кой химичен елемент е най-разпространен в човешкото тяло?,Кислород - 65%,Кислород
Кои два химични елемента могат да бъдат намерени в центъра на Земята?,Желязо и Никел,Желязо и никел.
"През 1967 г. Луис Вашкански става първият човек, получил какво?",Трансплантация на сърце,Първата трансплантация на сърце в САЩ.
"Какви са размерите на ледената пързалка, по олимпийски стандарти, използвана за фигурно пързаляне и хокей на лед? Дали е 25x50 метра, 27,5x50 метра или 30x60 метра?",40х60 метра,"Ледената пързалка за фигурно пързаляне и хокей на лед по олимпийски стандарти е с размери 27,5x50 метра."
Назовете двете женски герои в Скуби Ду?,Дафне и Велма,Daphne Blake и Velma Dinkley
Кой отбелязва първия 'златен гол' на Световното първенство през 1998 г.?,Лоран Блан,Роналдо (Бразилия)
Кой коронясва Наполеон за император?,Той сам се коронясва,Папа Пий VII го коронясва за император през 1804 г.
Корабът 'Титаник' имал три котви. Колко е било общото им тегло (в тонове)?,31 тона,15 тона
"Колко време трае една къса ,'кучешка', вахта обикновено?",Два часа,Около 10 минути.
Коя е столицата на Швейцария?,Берн,Берн
