Question,Answers
"Коя компания основава Никелодеон през 1979 година?","Уорнър Амекс"
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?","350 паунда (приблизително 158.76 кг). Минимумът е 200 паунда (приблизително 90.72 кг)."
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?","Най-малко 6 грама. Сребърните медали трябва да са поне .925 стерлингово сребро."
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?","Само трофеят на Уимбълдън е златен; останалите - за Откритото първенство на САЩ, Откритото първенство на Франция и Откритото първенство на Австралия - са сребърни."
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?","Лукът. Неговата кръгла форма символизирa вечността."
"Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място?","Венецуела, където годишната консумация е близо 13 килограма."
"Кой е бил Египетският президент, убит през 1981 година?","Садат"
"Между кои държави се намира водопадът Виктория?","Замбия и Зимбабве"
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?","Три дена и три нощи"
"Кои са двете основни ръкави на река Нил?","Сини Нил и Бели Нил."
"За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя? ","Първото появяване на Бийтълс в шоуто на Ед Съливан."
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?","Шест лакътя и една педя ,равнявайки се  на приблизително 297.18 см"
"За каква 'цена' Исав продава първородството си на брат си Яков?","Вариво от леща (Битие 25:29-34)."
"На какъв език е написан Новият завет?","Гръцки език."
"Какво е било световното население по време на Христос?","Около 200 милиона души."
"Кой е авторът на историята, на която е базиран филмът на Алфред Хичкок 'Птиците'?","Дафни дю Морие, най-известна с романа й Ребека."
"С какво се е занимавал Франц Кафprintка през деня?","Работил е като застраховането."
"Колко километра е дълъг каналът, който свързва Тихия и Атлантическия океан?","80 километра."
"Кой художник създава комикса Katzenjammer Kids?","Рудолф Диркс."
"Какъв е бил физическият недъг на певеца Ал Хиблър?","Бил е сляп."
"Коя супермоделка е била омъжена за Род Стюарт?","Рейчъл Хънтър"
"Фламенко танцьорът Хоакин Кортес нашумява през 1996 г. със своята връзка с кой супермодел?","Наоми Хампбел."
"Как се казва говорителят на НАТО по време на кризата в Косово през 1999 година?","Джеймс Шифер."
"Кой беше противникът на Андре Агаси, когато той спечели първия си титул на Уимбълдън в сингъл?","Майкъл Стич."
"Как загива Джеймс Фикс, човекът, който възхваляваше бягането като здравословно, през 1984 година?","Сърдечен удар по време на джогинг."
"Как се казва първият метеорологичен сателит?","Тирос."
"Какво е името на първия албум на Елвис Пресли, който не съдържа името на певеца?","Крал Креол"
"Кой водеше ранните серии на анимацията 'Пинко Розовата пантера'?"," Лени Шулц"
"Кой спечели първия изцяло американски финал на Откритото първенство на Франция за почти 40 години през 90-те?","Джим Къриър."
"В 'Makin' It',сериал от 80те, кой е героят от типа на Джон Траволта?","Били Манучи"
"Героят, играл  Джак Гелър в комедийния сериал 'Приятели', бил женен за коя известна личност?","Елиът Гулд е женен за Барбра Стрейзанд "
"Кой е първият социалистически премиер на Гърция?","Андрѐас Георгиу Папандрѐу."
"Кой победи най-доброто време на Карл Луис от 9,86 секунди за 100 метра?","Лерой Бурел"
"Кой e последният французин, спечелил Уимбълдън на сингъл през този век?","Ивон Петра"
"Кой e  най-възрастният шампион на Откритото първенство на САЩ по голф през 20-ти век?","Хейл Ирвин."
"Къде се връща изпратен имейл, ако не бъде доставен?","При подателя."
"Кой e старшият американски дипломат, държан в посолството на САЩ в Техеран?","Брус Лайнген."
"Кои са първите двама мъже шофирали на Луната?","Дейвид Скот и Джеймс Ъруин."
"Къде се намира Великия бял път?","Ню Йорк (Бродуей)."
"В коя болница e откарана принцеса Даяна след катастрофата?","Ла Пити-Салпетриер (La Pitié-Salpêtrière), университетска болница в Париж, Франция"
"Кои две близкоизточни страни воюваха от 1980 до 1988 година?","Иран и Ирак."
"С какво е свързано японското изкуство бонсай?","Миниатюрни дървета."
"Кои две държави имат граница с Лихтенщайн?","Швейцария и Австрия."
"Колко често се провеждат президентските избори в САЩ?","На всеки 4 години."
"Кои са двете основни политически партии в САЩ?","Демократи и републиканци."
"С каква цел Мелвил Дюи разработва своята десетична система през 1876 година?","За класифициране на книги."
"Какви видове елементи се срещат в чисто състояние в природата?","Eстествени елементи."
"Коя величина има както посока, така и големина?","Векторна стойност"
"Какво се изучава в науката за криогениката?","Много ниски температури."
"Какъв вид животно е мармозетката","Американска маймунка"
"Защо рибите имат хриле?","за да дишат кислород"
"Макиавели използва името на кое растение като заглавие на една от книгите си?","Мандрагора"
"Кога човек може да покаже бързо движение на очите (БДО)?","По време на сън"
"Кои две планети отнемат по-малко време от Земята, за да обиколят слънцето?","Меркурий и Венера"
"Какви са имената на двете космически сонди, изстреляни през 1977 г., които изпратиха забележителни снимки на Юпитер, Сатурн, Уран и Нептун?","Вояджър 1 и Вояджър 2"
"Каква е определящата характеристика на неутронната звезда?","Висока плътност"
"Уралските планини образуват естествена граница между кои два континента?","Азия и Европа"
"Какво според Николай Коперник е било в центъра на нашата вселена и какво е било общото вярване преди това?","Слънцето, а преди това хората вярвали че това било Земята"
"Кой певец от групата на Банд Ейд изпълнява началото на песента 'Знаят ли че е Коледа?'","Пол Йънг"
"Кои две числа са използвани от двоичната бройна система?","1 и 0"
"Джеймс Ърл Рей е виновен за смъррта на кого през 1968 г.?","Мартин Лутър Кинг"
"По какъв предизвикателен начин Даниел от Карате Кид улавя муха?","Използвайки клечки за хранене"
"Коя група изпълнява хитовата песен Счупени Крила от 80-те години","Господин мистър/Мистър Мистър"
"Кои са основните четири кръвни групи?","А, В, АВ, О"
"Кои две актриси играят главните роли във филма от 1992 г. - Неомъжена бяла жена?","Бриджит Фонда и Дженифър Джейсън Лий"
"Кои са актьорите които играят главните роли във филма от 1986 г. Тримата амиго?","Чеви Чейс, Стив Мартин, Мартин Шорт"
"Кои три елемента изграждат въглехидратите?","Въглерод, водород и кислород" 
"Какъв цвят са вертикалните ивици на италианското знаме?","Зелено, бяло и червено"
"Кои са двата традиционни цвята на Уимбълдън?","Зелено и лилаво"
"Лицата на кои четирима американски президенти са изваяни на планината Ръшмор?","Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт и Ейбрахам Линкълн"
"Кои са единствените четири цвята, които се използват в четирицветния процес на печат, който също е известен като ЦМИК?","Циан, магента, жълто и черно"
"Кои са първите четири книги на Библията?","Битие, Изход, Левит, Числа"
"Кои четири американски щата започват с английската буква 'I'","Айдахо, Илинойс, Индиана и Айова"
"Бон Скот беше вокал на коя известна рок група?","Ей Си/Ди Си"
"Какви са първите имена на четирите деца, които влизат в Нарния в 'Лъвът, вещицата и гардеробът'?","Луси, Питър, Сюзън и Едмънд"
"'Око за око', 'зъб за зъб'. Според книгата Изход в Библията какво следва?","Ръка за ръка, крак за крак"
"Какво е името на котката, оцеляла след потъването на 'Бисмарк', 'Косак' и 'Арк Роял' през Втората световна война?","Непотопяемият Сам"
"Какви са сухите съставки на Сухото мартини?","Джин и вермут"
"Кой е първият в света самолет с реактивно задвижване, който влиза в търговска експлоатация?","Кометата"
"На какво място си снасят яйцата скакалците?","В почвата"
"Географската област Патагония е разположена между кои две южноамерикански държави?","Аржентина и Чили"
"Къде в човешкото тяло се намера скафоидната кост?","В китката"
"Кой печели златния медал на 100 метра бруст на Олимпиадата през 1980 г. в Москва?","Дънкан Гудхю"
"Кой печели златния медал в седмобоя на Олимпийските игри през 2000 г.?","Дениз Луис"
"Назовете всяка година през която Леонардо да Винчи е бил жив","1452-1519"
"Смърфовете са описани като колко високи?","Колкото три ябълки"
"Каква температура е еднаква по Целзий и по Фаренхайт?","-40 градуса"
"Кои са двете основни съставки на соса Холандез?","Яйцени жълтъци и масло"
"На плажа какви цветове са знамената, обозначаващи зона за спасители?","Червено и жълто"
"Филмът 'Волният Уили' от 1993 г. се съсредоточава около какъв тип животно?","Косатка"
"Кой химичен елемент е най-разпространен в човешкото тяло?","Кислород - 65%"
"Кои два химични елемента могат да бъдат намерени в центъра на Земята?","Желязо и Никел"
"През 1967 г. Луис Вашкански става първият човек, получил какво?","Трансплантация на сърце"
"Какви са размерите на ледената пързалка, по олимпийски стандарти, използвана за фигурно пързаляне и хокей на лед? Дали е 25x50 метра, 27,5x50 метра или 30x60 метра?","40х60 метра"
"Назовете двете женски герои в Скуби Ду?","Дафне и Велма"
"Кой отбелязва първия 'златен гол' на Световното първенство през 1998 г.?","Лоран Блан"
"Кой коронясва Наполеон за император?","Той сам се коронясва"
"Корабът 'Титаник' имал три котви. Колко е било общото им тегло (в тонове)?","31 тона"
"Колко време трае една къса ,'кучешка', вахта обикновено?","Два часа"
"Коя е столицата на Швейцария?","Берн"